Date,Last Price_PSEI,Change Percent_PSEI,Last Price_PHP_USD,Change_PHP_USD,Change Percent_PHP_USD,Inflation_Rate,Interest_Rate,Last_Price_PSEI_Lag1,Last_Price_PSEI_Lag2,Change_x_Per_Inflation,Log_Volume,Log_Trade,Log_Share,Log_Net_Foreign
2024-11-29,6613.85,-0.37,58.609,-0.071,-0.12,2.3,6.0,6638.54,6863.01,-56.787,22.4811237546712,10.981233648522853,6.007977455482195,-20.94640938906062
2024-12-03,6734.21,-0.13,58.52,-0.22,-0.37,2.3,6.0,6742.89,6850.0,-19.964,22.47593791763973,11.080310101740798,6.201988809065814,-19.781503441663084
2024-12-04,6729.96,-0.06,58.15,-0.37,-0.63,2.3,6.0,6734.21,6806.86,-9.774999999999999,22.79769483692833,10.913833131159125,6.231819135152546,-20.102104380020176
2024-12-05,6690.77,-0.58,57.749,-0.401,-0.69,2.3,6.0,6729.96,6702.59,-90.13699999999999,22.568566073260474,10.97337452485014,6.7614107186376,-19.96523874578214
2024-12-06,6729.14,0.57,57.84,0.09,0.16,2.3,6.0,6690.77,6638.54,88.25099999999999,22.465484860789463,11.0085953661978,6.759487262313034,-19.85512220776006
2024-12-10,6724.82,0.66,58.041,0.05,0.09,2.3,6.0,6680.57,6742.89,101.77499999999999,22.868026844863987,11.076758851984476,6.665097558763625,21.0159354516555
2024-12-11,6642.71,-1.22,58.344,0.303,0.52,2.3,6.0,6724.82,6734.21,-188.85299999999998,22.377677115214446,11.014867980481917,6.809072418077552,-20.025769213257345
2024-12-12,6641.35,-0.02,58.285,-0.059,-0.1,2.3,6.0,6642.71,6729.96,-3.128,22.544584108577823,11.12977453345857,6.380207279071757,-19.760433663255444
2024-12-13,6616.51,-0.37,58.661,0.376,0.65,2.3,6.0,6641.35,6690.77,-57.132,22.336695770849254,10.96648993456911,0.7884573603642703,-20.215568649516413
2024-12-17,6501.71,-1.72,59.003,0.17,0.29,2.3,6.0,6615.16,6680.57,-260.935,22.610335486130307,11.099846444456379,0.7561219797213337,-21.030750537429665
2024-12-18,6469.08,-0.5,58.983,-0.02,-0.03,2.3,6.0,6501.71,6724.82,-75.049,22.508336318191454,11.004779580825998,0.8712933659434192,-20.00430842153894
2024-12-19,6395.6,-1.14,59.076,0.093,0.16,2.3,6.0,6469.08,6642.71,-169.004,22.520012847851344,11.131533265280341,6.3908109742079695,-20.720852929224538
2024-12-20,6406.38,0.17,58.744,-0.332,-0.56,2.3,6.0,6395.6,6641.35,24.793999999999997,22.662007496666998,10.96458833319395,6.192710077320975,-20.472044262783
2024-12-27,6528.79,-0.16,57.908,-0.162,-0.28,2.3,6.0,6539.02,6395.6,-23.529,22.15596657111912,10.736418414365376,0.7793248768009975,-18.540772233078577
2025-01-03,6603.81,0.82,58.067,0.073,0.13,2.3,6.0,6550.39,6539.02,122.866,22.052989846842458,10.971829619297056,1.3270750014599193,-18.962946899366965
2025-01-10,6496.32,-0.23,58.642,0.188,0.32,2.3,6.0,6511.57,6550.39,-35.074999999999996,22.050340838671584,10.767242112707454,0.712949807856125,-17.64262907807424
2025-01-14,6299.67,-0.68,58.724,0.064,0.11,2.3,6.0,6343.1,6625.17,-99.889,22.47246569192958,11.069929814564968,6.560903359349308,-20.602972153374477
2025-01-15,6330.46,0.49,58.63,-0.09,-0.16,2.3,6.0,6299.67,6545.38,70.817,22.417044897998085,11.109173887928804,6.38602036470811,-20.108153197041673
2025-01-16,6265.52,-1.03,58.55,-0.08,-0.14,2.3,6.0,6330.46,6496.72,-149.362,22.546200923804466,11.038126355768453,6.875149439233223,-20.818576017659826
2025-01-17,6352.12,1.38,58.444,-0.106,-0.18,2.3,6.0,6265.52,6511.57,199.17999999999998,22.31860482520385,10.887455624298198,6.902622126870389,-18.39402872322504
2025-01-21,6340.21,-0.15,58.35,0.02,0.04,2.3,6.0,6349.89,6343.1,-22.264,22.0765203442465,10.721746404137187,0.6981347220709843,-18.969668834588045
